value,years,place,lat,lon
398,3,Morningside College,42.47324,-96.360738
399,3,Mount Mercy University,42.001931,-91.650991
400,3,University of Northern Iowa,42.514923,-92.459703
401,3,Northwestern College,42.998955,-96.058382
402,3,Saint Ambrose University,41.540081,-90.58098
403,3,Simpson College,41.365503,-93.563471
404,3,Upper Iowa University,42.840293,-91.799663
405,3,Wartburg College,42.727629,-92.480933
406,3,William Penn University,41.308868,-92.648348
407,3,Baker University,38.777278,-95.188231
408,3,Benedictine College,39.572953,-95.111424
409,3,Bethany College,38.5786,-97.673173
410,3,Bethel College-North Newton,38.07525,-97.342572
411,3,Central Christian College of Kansas,38.357964,-97.667373
412,3,Donnelly College,39.112227,-94.65103
413,3,Emporia State University,38.412583,-96.179454
414,3,Fort Hays State University,38.872436,-99.340493
415,3,Friends University,37.678495,-97.366666
416,3,University of Kansas,38.957351,-95.24587
417,3,Newman University,37.672306,-97.378803
418,3,Kansas State University,39.188616,-96.581077
419,3,Kansas Wesleyan University,38.813923,-97.609476
420,3,McPherson College,38.371464,-97.6443
421,3,MidAmerica Nazarene University,38.872608,-94.782586
422,3,Ottawa University-Ottawa,38.602899,-95.263776
423,3,Ottawa University-Kansas City,38.930925,-94.68937
424,3,Pittsburg State University,37.3913,-94.704782
425,3,University of Saint Mary,39.277308,-94.906935
426,3,Southwestern College,37.2493,-96.9783
427,3,Sterling College,38.219783,-98.209966
428,3,Tabor College,38.348606,-97.20096
429,3,Washburn University,39.034977,-95.702325
430,3,Wichita State University,37.716484,-97.296733
431,3,Alice Lloyd College,37.335087,-82.875068
432,3,Asbury University,37.862029,-84.662606
433,3,Bellarmine University,38.219138,-85.7049
434,3,Berea College,37.573334,-84.289332
435,3,Brescia University,37.768989,-87.111533
436,3,Campbellsville University,37.343342,-85.348943
437,3,Centre College,37.645102,-84.779175
438,3,University of the Cumberlands,36.736489,-84.162375
439,3,Eastern Kentucky University,37.740396,-84.301356
440,3,Georgetown College,38.207934,-84.554583
441,3,Kentucky State University,38.201056,-84.855488
442,3,Kentucky Wesleyan College,37.744667,-87.121984
443,3,University of Kentucky,38.032393,-84.509177
444,3,Kentucky Christian University,38.339002,-82.946883
445,3,Lindsey Wilson College,37.101853,-85.299909
446,3,University of Louisville,38.215752,-85.758843
447,3,Mid-Continent University,36.815418,-88.648361
448,3,Midway College,38.144432,-84.679335
449,3,Morehead State University,38.188462,-83.429742
450,3,Murray State University,36.61241,-88.323493
451,3,Northern Kentucky University,39.029221,-84.465959
452,3,University of Pikeville,37.478835,-82.520265
453,3,Saint Catharine College,37.708833,-85.261372
454,3,Spalding University,38.241815,-85.75905
455,3,Thomas More College,39.022963,-84.568923
456,3,Transylvania University,38.053236,-84.493883
457,3,Union College,36.869066,-83.887982
458,3,Western Kentucky University,36.985718,-86.455898
459,3,Centenary College of Louisiana,32.483004,-93.731518
460,3,Dillard University,29.996468,-90.065348
461,3,Grambling State University,32.522702,-92.717367
462,3,Louisiana State University-Alexandria,31.178616,-92.414409
463,3,Louisiana State University and Agricultural & Mechanical College,30.552111,-91.196656
464,3,Louisiana State University-Shreveport,32.428768,-93.703762
465,3,Louisiana College,31.322286,-92.425567
466,3,Louisiana Tech University,32.525518,-92.64964
467,3,Loyola University New Orleans,29.936141,-90.120417
468,3,McNeese State University,30.180762,-93.215648
469,3,University of New Orleans,30.028539,-90.068506
470,3,Nicholls State University,29.792689,-90.802906
471,3,University of Louisiana at Monroe,32.527957,-92.073855
472,3,Northwestern State University of Louisiana,31.750675,-93.097715
473,3,Our Lady of Holy Cross College,29.912539,-89.997055
474,3,Southeastern Louisiana University,30.51358,-90.468558
475,3,Southern University and A & M College,30.524558,-91.190105
476,3,Southern University at New Orleans,30.02669,-90.044379
477,3,University of Louisiana at Lafayette,30.215283,-92.01941
478,3,Tulane University of Louisiana,29.939696,-90.120409
479,3,Xavier University of Louisiana,29.964162,-90.107307
480,3,College of the Atlantic,44.399584,-68.228849
481,3,Bates College,44.105299,-70.203333
482,3,Bowdoin College,43.906969,-69.965165
483,3,Colby College,44.564211,-69.66337
484,3,Husson University,44.828888,-68.791323
485,3,University of Maine at Augusta,44.337746,-69.796396
486,3,University of Maine at Farmington,44.668,-70.147469
487,3,University of Maine at Fort Kent,47.250306,-68.588364
488,3,University of Maine at Machias,44.709895,-67.456534
489,3,University of Maine,44.895966,-68.673839
490,3,Maine Maritime Academy,44.3873,-68.803214
491,3,University of Maine at Presque Isle,46.672377,-68.016516
492,3,University of New England,43.458172,-70.385882
493,3,Saint Joseph's College of Maine,43.82651,-70.483486
494,3,University of Southern Maine,43.662637,-70.276002
495,3,Thomas College,44.524046,-69.662923
496,3,Unity College,44.603165,-69.332276
497,3,University of Baltimore,39.305834,-76.616591
498,3,Bowie State University,39.018185,-76.759721
499,3,Washington Adventist University,38.987206,-77.00131
500,3,Coppin State University,39.310786,-76.658547
501,3,Frostburg State University,39.651509,-78.933871
502,3,Goucher College,39.410175,-76.594843
503,3,Hood College,39.421908,-77.419282
504,3,Johns Hopkins University,39.32838,-76.620799
505,3,Loyola University Maryland,39.346044,-76.623417
506,3,University of Maryland-University College,38.986299,-76.954104
507,3,University of Maryland-Baltimore County,39.256686,-76.711607
508,3,University of Maryland-College Park,38.988607,-76.939704
509,3,University of Maryland Eastern Shore,38.211188,-75.687227
510,3,Morgan State University,39.344235,-76.584238
511,3,Mount St Mary's University,39.680632,-77.35222
512,3,Notre Dame of Maryland University,39.351307,-76.619701
513,3,Salisbury University,38.345447,-75.605705
514,3,St Mary's College of Maryland,38.188615,-76.425706
515,3,Sojourner-Douglass College,39.296333,-76.598191
516,3,St John's College,38.981513,-76.491397
517,3,Towson University,39.393008,-76.612268
518,3,Maryland University of Integrative Health,39.165872,-76.888025
519,3,Stevenson University,39.421264,-76.701247
520,3,Washington College,39.217329,-76.06878
521,3,McDaniel College,39.584879,-77.001662
522,3,American International College,42.112708,-72.558507
523,3,Amherst College,42.372459,-72.518493
524,3,Anna Maria College,42.33055,-71.918961
525,3,Assumption College,42.295435,-71.828387
526,3,Bay Path College,42.055364,-72.583974
527,3,Becker College,42.26918,-71.811895
528,3,Bentley University,42.388798,-71.220148
529,3,Boston College,42.337688,-71.171488
530,3,Boston University,42.349581,-71.09984
531,3,Brandeis University,42.364947,-71.254716
532,3,Bridgewater State University,41.987785,-70.966058
533,3,Cambridge College,42.369193,-71.11084
534,3,Clark University,42.251064,-71.823537
535,3,Curry College,42.240616,-71.114007
536,3,Eastern Nazarene College,42.271214,-71.011238
537,3,Emerson College,42.35532,-71.074037
538,3,Emmanuel College,42.341191,-71.103038
539,3,Endicott College,42.554177,-70.840729
540,3,Fisher College,42.355253,-71.074125
541,3,Fitchburg State University,42.589345,-71.789354
542,3,Framingham State University,42.297289,-71.437175
543,3,Gordon College,42.588173,-70.819133
544,3,Hampshire College,42.324772,-72.532401
545,3,Harvard University,42.374429,-71.118177
546,3,College of the Holy Cross,42.238942,-71.808627
547,3,Lasell College,42.342712,-71.243738
548,3,Lesley University,42.378429,-71.115601
549,3,University of Massachusetts-Lowell,42.65372,-71.325081
550,3,University of Massachusetts-Amherst,42.386105,-72.52613
551,3,University of Massachusetts-Boston,42.314541,-71.038653
552,3,Massachusetts Institute of Technology,42.360095,-71.092115
553,3,Massachusetts Maritime Academy,41.740538,-70.623953
554,3,Merrimack College,42.668352,-71.124216
555,3,Mount Holyoke College,42.257588,-72.573625
556,3,Mount Ida College,42.293205,-71.194658
557,3,Newbury College,42.331032,-71.142082
558,3,Nichols College,42.042462,-71.929644
559,3,Massachusetts College of Liberal Arts,42.692427,-73.1035
560,3,Northeastern University,42.339992,-71.088782
561,3,College of Our Lady of the Elms,42.14179,-72.601541
562,3,Pine Manor College,42.319568,-71.156973
563,3,Salem State University,42.502879,-70.889321
564,3,Simmons College,42.3393,-71.099967
565,3,Bard College at Simon's Rock,42.209241,-73.380008
566,3,Smith College,42.317933,-72.638094
567,3,Springfield College,42.105033,-72.555688
568,3,University of Massachusetts-Dartmouth,41.628861,-71.005528
569,3,Stonehill College,42.061448,-71.078123
570,3,Suffolk University,42.359088,-71.061969
571,3,Tufts University,42.406004,-71.120641
572,3,Wellesley College,42.293765,-71.307966
573,3,Wentworth Institute of Technology,42.336632,-71.094983
574,3,Western New England University,42.115837,-72.518789
575,3,Westfield State University,42.131589,-72.795673
576,3,Wheaton College,41.966813,-71.184167
577,3,Wheelock College,42.342503,-71.10582
578,3,Williams College,42.711669,-73.205888
579,3,Worcester Polytechnic Institute,42.275067,-71.808792
580,3,Worcester State University,42.267534,-71.844019
581,3,Adrian College,41.898449,-84.059947
582,3,Albion College,42.244603,-84.746088
583,3,Alma College,43.379236,-84.670073
584,3,Andrews University,41.963266,-86.355149
585,3,Aquinas College,42.960449,-85.626166
586,3,Baker College of Owosso,42.987045,-84.170882
587,3,Baker College of Flint,42.974764,-83.694679
588,3,Calvin College,42.929916,-85.587548
